Time(us),Sensor 1,Sensor 2
354,0.00,0.03
355,0.00,0.03
356,0.00,0.03
357,0.00,0.03
358,0.00,0.03
359,0.00,0.02
360,0.00,0.03
361,0.00,0.02
362,0.00,0.03
363,0.00,0.02
364,0.00,0.03
365,0.00,0.02
366,0.00,0.03
367,0.00,0.02
368,0.00,0.03
369,0.00,0.02
370,0.00,0.03
371,0.00,0.02
372,0.00,0.03
373,0.00,0.02
374,0.00,0.03
375,0.00,0.02
376,0.00,0.03
377,0.00,0.02
378,0.00,0.03
379,0.00,0.02
380,0.00,0.03
381,0.00,0.03
382,0.00,0.03
383,0.00,0.03
384,0.00,0.03
385,0.00,0.03
386,0.00,0.03
387,0.00,0.03
388,0.00,0.03
389,0.00,0.03
390,0.00,0.03
391,0.00,0.03
392,0.00,0.03
393,0.00,0.03
394,0.00,0.03
395,0.00,0.03
396,0.00,0.03
397,0.00,0.02
398,0.00,0.03
399,0.00,0.02
400,0.00,0.03
401,0.00,0.02
402,0.00,0.03
403,0.00,0.02
404,0.00,0.03
405,0.00,0.02
406,0.00,0.03
407,0.00,0.02
408,0.00,0.03
409,0.00,0.02
410,0.00,0.03
411,0.00,0.02
412,0.00,0.03
413,0.00,0.03
414,0.00,0.03
415,0.00,0.03
416,0.00,0.03
417,0.00,0.03
418,0.00,0.03
419,0.00,0.03
420,0.00,0.03
421,0.00,0.03
422,0.00,0.03
423,0.00,0.03
424,0.00,0.03
425,0.00,0.03
426,0.00,0.03
427,0.00,0.03
428,0.00,0.03
429,0.00,0.03
430,0.00,0.03
431,0.00,0.03
432,0.00,0.03
433,0.00,0.02
434,0.00,0.03
435,0.00,0.02
436,0.00,0.03
437,0.00,0.02
438,0.00,0.03
439,0.00,0.02
440,0.00,0.03
441,0.00,0.02
442,0.00,0.03
443,0.00,0.03
444,0.00,0.03
445,0.00,0.03
446,0.00,0.03
447,0.00,0.03
448,0.00,0.03
449,0.00,0.02
450,0.00,0.03
451,0.00,0.03
452,0.00,0.03
453,0.00,0.03
454,0.00,0.03
455,0.00,0.03
456,0.00,0.03
457,0.00,0.03
458,0.00,0.03
459,0.00,0.03
460,0.00,0.03
461,0.00,0.02
462,0.00,0.03
463,0.00,0.03
464,0.00,0.03
465,0.00,0.02
466,0.00,0.03
467,0.00,0.03
468,0.00,0.02
469,0.00,0.03
470,0.00,0.02
471,0.00,0.03
472,0.00,0.02
473,0.00,0.03
474,0.00,0.02
475,0.00,0.03
476,0.00,0.03
477,0.00,0.03
478,0.00,0.03
479,0.00,0.03
480,0.00,0.03
481,0.00,0.03
482,0.00,0.03
483,0.00,0.03
484,0.00,0.03
485,0.00,0.03
486,0.00,0.03
487,0.00,0.03
488,0.00,0.03
489,0.00,0.03
490,0.00,0.03
491,0.00,0.03
492,0.00,0.03
493,0.00,0.03
494,0.00,0.03
495,0.00,0.02
496,0.00,0.03
497,0.00,0.02
498,0.00,0.03
499,0.00,0.02
500,0.00,0.03
501,0.00,0.02
502,0.00,0.03
503,0.00,0.02
504,0.00,0.03
505,0.00,0.02
506,0.00,0.03
507,0.00,0.02
508,0.00,0.03
509,0.00,0.02
510,0.00,0.03
511,0.00,0.02
512,0.00,0.03
513,0.00,0.02
514,0.00,0.03
515,0.00,0.03
516,0.00,0.03
517,0.00,0.03
518,0.00,0.03
519,0.00,0.03
520,0.00,0.03
521,0.00,0.03
522,0.00,0.03
523,0.00,0.03
524,0.00,0.03
525,0.00,0.03
526,0.00,0.03
527,0.00,0.02
528,0.00,0.03
529,0.00,0.02
530,0.00,0.03
531,0.00,0.02
532,0.00,0.03
533,0.00,0.02
534,0.00,0.03
535,0.00,0.02
536,0.00,0.03
537,0.00,0.02
538,0.00,0.03
539,0.00,0.02
540,0.00,0.03
541,0.00,0.02
542,0.00,0.03
543,0.00,0.02
544,0.00,0.03
545,0.00,0.03
546,0.00,0.03
547,0.00,0.02
548,0.00,0.03
549,0.00,0.03
550,0.00,0.03
551,0.00,0.03
552,0.00,0.03
553,0.00,0.03
554,0.00,0.03
555,0.00,0.03
556,0.00,0.03
557,0.00,0.03
558,0.00,0.03
559,0.00,0.02
560,0.00,0.03
561,0.00,0.02
562,0.00,0.03
563,0.00,0.03
564,0.00,0.03
565,0.00,0.03
566,0.00,0.03
567,0.00,0.03
568,0.00,0.03
569,0.00,0.02
570,0.00,0.03
571,0.00,0.02
572,0.00,0.03
573,0.00,0.02
574,0.00,0.03
575,0.00,0.02
576,0.00,0.03
577,0.00,0.02
578,0.00,0.03
579,0.00,0.02
580,0.00,0.03
581,0.00,0.03
582,0.00,0.03
583,0.00,0.03
584,0.00,0.03
585,0.00,0.03
586,0.00,0.03
587,0.00,0.03
588,0.00,0.03
589,0.00,0.03
590,0.00,0.03
591,0.00,0.03
592,0.00,0.03
593,0.00,0.03
594,0.00,0.03
595,0.00,0.02
596,0.00,0.03
597,0.00,0.02
598,0.00,0.03
599,0.00,0.02
600,0.00,0.03
601,0.00,0.02
602,0.00,0.03
603,0.00,0.02
604,0.00,0.03
605,0.00,0.02
606,0.00,0.03
607,0.00,0.02
608,0.00,0.03
609,0.00,0.02
610,0.00,0.03
611,0.00,0.03
612,0.00,0.03
613,0.00,0.03
614,0.00,0.03
615,0.00,0.03
616,0.00,0.03
617,0.00,0.03
618,0.00,0.03
619,0.00,0.03
620,0.00,0.03
621,0.00,0.03
622,0.00,0.03
623,0.00,0.03
624,0.00,0.03
625,0.00,0.03
626,0.00,0.03
627,0.00,0.03
628,0.00,0.02
629,0.00,0.03
630,0.00,0.02
631,0.00,0.03
632,0.00,0.02
633,0.00,0.03
634,0.00,0.02
635,0.00,0.02
636,0.00,0.03
637,0.00,0.02
638,0.00,0.03
639,0.00,0.02
640,0.00,0.03
641,0.00,0.02
642,0.00,0.03
643,0.00,0.02
644,0.00,0.03
645,0.00,0.02
646,0.00,0.03
647,0.00,0.03
648,0.00,0.03
649,0.00,0.03
650,0.00,0.03
651,0.00,0.03
652,0.00,0.03
653,0.00,0.03
654,0.00,0.03
655,0.00,0.03
656,0.00,0.03
657,0.00,0.03
658,0.00,0.03
659,0.00,0.03
660,0.00,0.03
661,0.00,0.03
662,0.00,0.03
663,0.00,0.03
664,0.00,0.03
665,0.00,0.03
666,0.00,0.03
667,0.00,0.02
668,0.00,0.03
669,0.00,0.02
670,0.00,0.02
671,0.00,0.03
672,0.00,0.02
673,0.00,0.03
674,0.00,0.02
675,0.00,0.03
676,0.00,0.03
677,0.00,0.02
678,0.00,0.03
679,0.00,0.03
680,0.00,0.03
681,0.00,0.03
682,0.00,0.03
683,0.00,0.03
684,0.00,0.03
685,0.00,0.03
686,0.00,0.03
687,0.00,0.03
688,0.00,0.03
689,0.00,0.03
690,0.00,0.03
691,0.00,0.03
692,0.00,0.03
693,0.00,0.03
694,0.00,0.03
695,0.00,0.03
696,0.00,0.03
697,0.00,0.03
698,0.00,0.03
699,0.00,0.03
700,0.00,0.03
701,0.00,0.03
702,0.00,0.02
703,0.00,0.03
704,0.00,0.02
705,0.00,0.03
706,0.00,0.02
707,0.00,0.03
708,0.00,0.02
709,0.00,0.03
710,0.00,0.03
711,0.00,0.03
712,0.00,0.03
713,0.00,0.03
714,0.00,0.03
715,0.00,0.03
716,0.00,0.03
717,0.00,0.03
718,0.00,0.03
719,0.00,0.03
720,0.00,0.03
721,0.00,0.03
722,0.00,0.03
723,0.00,0.03
724,0.00,0.03
725,0.00,0.03
726,0.00,0.03
727,0.00,0.03
728,0.00,0.03
729,0.00,0.03
730,0.00,0.03
731,0.00,0.03
732,0.00,0.03
733,0.00,0.02
734,0.00,0.03
735,0.00,0.02
736,0.00,0.03
737,0.00,0.02
738,0.00,0.03
739,0.00,0.02
740,0.00,0.02
741,0.00,0.02
742,0.00,0.02
743,0.00,0.02
744,0.00,0.02
745,0.00,0.02
746,0.00,0.03
747,0.00,0.02
748,0.00,0.03
749,0.00,0.02
750,0.00,0.02
751,0.00,0.02
752,0.00,0.03
753,0.00,0.02
754,0.00,0.04
755,0.00,0.03
756,0.00,0.03
757,0.00,0.03
758,0.00,0.03
759,0.00,0.02
760,0.00,0.03
761,0.00,0.02
762,0.00,0.03
763,0.00,0.02
764,0.00,0.03
765,0.00,0.02
766,0.00,0.03
767,0.00,0.03
768,0.00,0.03
769,0.00,0.03
770,0.00,0.02
771,0.00,0.03
772,0.00,0.02
773,0.00,0.03
774,0.00,0.02
775,0.00,0.03
776,0.00,0.03
777,0.00,0.02
778,0.00,0.03
779,0.00,0.02
780,0.00,0.03
781,0.00,0.02
782,0.00,0.03
783,0.00,0.03
784,0.00,0.03
785,0.00,0.03
786,0.00,0.03
787,0.00,0.03
788,0.00,0.03
789,0.00,0.03
790,0.00,0.03
791,0.00,0.03
792,0.00,0.03
793,0.00,0.03
794,0.00,0.03
795,0.00,0.03
796,0.00,0.03
797,0.00,0.03
798,0.00,0.03
799,0.00,0.03
800,0.00,0.03
801,0.00,0.03
802,0.00,0.03
803,0.00,0.02
804,0.00,0.03
805,0.00,0.02
806,0.00,0.03
807,0.00,0.02
808,0.00,0.03
809,0.00,0.02
810,0.00,0.03
811,0.00,0.02
812,0.00,0.03
813,0.00,0.02
814,0.00,0.03
815,0.00,0.03
816,0.00,0.03
817,0.00,0.03
818,0.00,0.03
819,0.00,0.03
820,0.00,0.03
821,0.00,0.03
822,0.00,0.03
823,0.00,0.03
824,0.00,0.03
825,0.00,0.03
826,0.00,0.03
827,0.00,0.03
828,0.00,0.03
829,0.00,0.02
830,0.00,0.03
831,0.00,0.02
832,0.00,0.03
833,0.00,0.02
834,0.00,0.03
835,0.00,0.02
836,0.00,0.03
837,0.00,0.02
838,0.00,0.03
839,0.00,0.03
840,0.00,0.03
841,0.01,0.03
842,0.00,0.03
843,0.00,0.03
844,0.00,0.03
845,0.00,0.03
846,0.00,0.02
847,0.00,0.03
848,0.00,0.03
849,0.00,0.03
850,0.00,0.03
851,0.00,0.03
852,0.00,0.03
853,0.00,0.03
854,0.00,0.03
855,0.00,0.03
856,0.00,0.03
857,0.00,0.03
858,0.00,0.03
859,0.00,0.03
860,0.00,0.03
861,0.00,0.03
862,0.00,0.03
863,0.00,0.03
864,0.00,0.03
865,0.00,0.03
866,0.00,0.03
867,0.00,0.03
868,0.00,0.03
869,0.00,0.02
870,0.00,0.03
871,0.00,0.02
872,0.00,0.03
873,0.00,0.02
874,0.00,0.03
875,0.00,0.02
876,0.00,0.03
877,0.00,0.03
878,0.00,0.03
879,0.00,0.03
880,0.00,0.03
881,0.00,0.03
882,0.00,0.03
883,0.00,0.03
884,0.00,0.03
885,0.00,0.03
886,0.00,0.03
887,0.00,0.03
888,0.00,0.03
889,0.00,0.03
890,0.00,0.03
891,0.00,0.03
892,0.00,0.03
893,0.00,0.03
894,0.00,0.03
895,0.00,0.03
896,0.00,0.03
897,0.00,0.03
898,0.00,0.03
899,0.00,0.03
900,0.00,0.03
901,0.00,0.03
902,0.00,0.03
903,0.00,0.02
904,0.00,0.03
905,0.00,0.02
906,0.00,0.03
907,0.00,0.02
908,0.00,0.03
909,0.00,0.02
910,0.00,0.03
911,0.00,0.02
912,0.00,0.03
913,0.00,0.03
914,0.00,0.02
915,0.00,0.03
916,0.00,0.03
917,0.00,0.03
918,0.00,0.03
919,0.00,0.03
920,0.00,0.03
921,0.00,0.03
922,0.00,0.03
923,0.00,0.03
924,0.00,0.03
925,0.00,0.03
926,0.00,0.03
927,0.00,0.03
928,0.00,0.03
929,0.00,0.03
930,0.00,0.03
931,0.00,0.03
932,0.00,0.03
933,0.00,0.03
934,0.00,0.03
935,0.00,0.02
936,0.00,0.03
937,0.00,0.02
938,0.00,0.03
939,0.00,0.02
940,0.00,0.03
941,0.00,0.02
942,0.00,0.03
943,0.00,0.02
944,0.00,0.03
945,0.00,0.03
946,0.00,0.03
947,0.00,0.03
948,0.00,0.03
949,0.00,0.02
950,0.00,0.03
951,0.00,0.03
952,0.00,0.03
953,0.00,0.03
954,0.00,0.03
955,0.00,0.03
956,0.00,0.03
957,0.00,0.03
958,0.00,0.03
959,0.00,0.02
960,0.00,0.03
961,0.00,0.03
962,0.00,0.03
963,0.00,0.03
964,0.00,0.03
965,0.00,0.03
966,0.00,0.03
967,0.00,0.03
968,0.00,0.03
969,0.00,0.03
970,0.00,0.02
971,0.00,0.03
972,0.00,0.03
973,0.00,0.02
974,0.00,0.03
975,0.00,0.02
976,0.00,0.03
977,0.00,0.02
978,0.00,0.03
979,0.00,0.02
980,0.00,0.03
981,0.00,0.02
982,0.00,0.03
983,0.00,0.03
984,0.00,0.03
985,0.00,0.03
986,0.00,0.03
987,0.00,0.03
988,0.00,0.03
989,0.00,0.03
990,0.00,0.03
991,0.00,0.03
992,0.00,0.03
993,0.00,0.03
994,0.00,0.03
995,0.00,0.03
996,0.00,0.03
997,0.00,0.03
998,0.00,0.03
999,0.00,0.03
1000,0.00,0.03
1001,0.00,0.03
1002,0.00,0.03
1003,0.00,0.02
1004,0.00,0.03
1005,0.00,0.03
1006,0.00,0.03
1007,0.00,0.02
1008,0.00,0.03
1009,0.00,0.02
1010,0.00,0.03
1011,0.00,0.02
1012,0.00,0.03
1013,0.00,0.03
1014,0.00,0.03
1015,0.00,0.03
1016,0.00,0.03
1017,0.00,0.03
1018,0.00,0.03
1019,0.00,0.03
1020,0.00,0.03
1021,0.01,0.03
1022,0.00,0.03
1023,0.00,0.03
1024,0.00,0.03
1025,0.00,0.03
1026,0.00,0.03
1027,0.00,0.03
1028,0.00,0.03
1029,0.00,0.03
1030,0.00,0.03
1031,0.00,0.03
1032,0.00,0.03
1033,0.00,0.03
1034,0.00,0.03
1035,0.00,0.03
1036,0.00,0.03
1037,0.00,0.02
1038,0.00,0.03
1039,0.00,0.02
1040,0.00,0.03
1041,0.00,0.02
1042,0.00,0.03
1043,0.00,0.03
1044,0.00,0.03
1045,0.00,0.03
1046,0.00,0.03
1047,0.00,0.03
1048,0.00,0.03
1049,0.00,0.03
1050,0.00,0.03
1051,0.00,0.03
1052,0.00,0.03
1053,0.00,0.03
1054,0.00,0.03
1055,0.00,0.03
1056,0.00,0.03
1057,0.00,0.03
1058,0.00,0.03
1059,0.00,0.03
1060,0.00,0.03
1061,0.00,0.03
1062,0.00,0.03
1063,0.00,0.03
1064,0.00,0.03
1065,0.01,0.03
1066,0.00,0.02
1067,0.00,0.03
1068,0.00,0.02
1069,0.00,0.03
1070,0.00,0.02
1071,0.00,0.02
1072,0.00,0.03
1073,0.00,0.02
1074,0.00,0.03
1075,0.00,0.02
1076,0.00,0.03
1077,0.00,0.02
1078,0.00,0.03
1079,0.00,0.03
1080,0.00,0.03
1081,0.00,0.03
1082,0.00,0.03
1083,0.00,0.03
1084,0.00,0.03
1085,0.00,0.03
1086,0.00,0.03
1087,0.00,0.03
1088,0.00,0.03
1089,0.00,0.03
1090,0.00,0.03
1091,0.00,0.03
1092,0.00,0.03
1093,0.00,0.03
1094,0.00,0.03
1095,0.00,0.03
1096,0.00,0.03
1097,0.00,0.03
1098,0.00,0.03
1099,0.00,0.03
1100,0.00,0.03
1101,0.00,0.03
1102,0.00,0.02
1103,0.00,0.03
1104,0.00,0.02
1105,0.00,0.03
1106,0.00,0.03
1107,0.00,0.02
1108,0.00,0.03
1109,0.00,0.02
1110,0.00,0.03
1111,0.00,0.02
1112,0.00,0.03
1113,0.00,0.02
1114,0.00,0.03
1115,0.00,0.02
1116,0.00,0.03
1117,0.00,0.02
1118,0.00,0.03
1119,0.00,0.03
1120,0.00,0.03
1121,0.00,0.02
1122,0.00,0.03
1123,0.00,0.03
1124,0.00,0.03
1125,0.00,0.03
1126,0.00,0.03
1127,0.00,0.03
1128,0.00,0.03
1129,0.00,0.03
1130,0.00,0.03
1131,0.00,0.03
1132,0.00,0.03
1133,0.00,0.02
1134,0.00,0.03
1135,0.00,0.02
1136,0.00,0.03
1137,0.00,0.02
1138,0.00,0.03
1139,0.00,0.02
1140,0.00,0.03
1141,0.00,0.02
1142,0.00,0.03
1143,0.00,0.02
1144,0.00,0.03
1145,0.00,0.03
1146,0.00,0.03
1147,0.00,0.03
1148,0.00,0.03
1149,0.00,0.02
1150,0.00,0.03
1151,0.00,0.02
1152,0.00,0.02
1153,0.00,0.02
1154,0.00,0.03
1155,0.00,0.02
1156,0.00,0.03
1157,0.00,0.02
1158,0.00,0.03
1159,0.00,0.02
1160,0.00,0.02
1161,0.00,0.04
1162,0.00,0.03
1163,0.00,0.02
1164,0.00,0.03
1165,0.00,0.02
1166,0.00,0.03
1167,0.00,0.03
1168,0.00,0.03
1169,0.00,0.02
1170,0.00,0.03
1171,0.00,0.02
1172,0.00,0.03
1173,0.00,0.02
1174,0.00,0.03
1175,0.00,0.02
1176,0.00,0.03
1177,0.00,0.02
1178,0.00,0.03
1179,0.00,0.02
1180,0.00,0.03
1181,0.00,0.02
1182,0.00,0.03
1183,0.00,0.02
1184,0.00,0.03
1185,0.00,0.03
1186,0.00,0.03
1187,0.00,0.03
1188,0.00,0.03
1189,0.00,0.03
1190,0.00,0.03
1191,0.00,0.03
1192,0.00,0.03
1193,0.00,0.02
1194,0.00,0.03
1195,0.00,0.03
1196,0.00,0.03
1197,0.00,0.03
1198,0.00,0.03
1199,0.00,0.03
1200,0.00,0.02
1201,0.00,0.03
1202,0.00,0.02
1203,0.00,0.03
1204,0.00,0.02
1205,0.00,0.03
1206,0.00,0.02
1207,0.00,0.03
1208,0.00,0.03
1209,0.00,0.02
1210,0.00,0.03
1211,0.00,0.02
1212,0.00,0.03
1213,0.00,0.03
1214,0.00,0.03
1215,0.00,0.03
1216,0.00,0.03
1217,0.00,0.03
1218,0.00,0.03
1219,0.00,0.03
1220,0.00,0.03
1221,0.00,0.03
1222,0.00,0.03
1223,0.00,0.03
1224,0.00,0.03
1225,0.00,0.03
1226,0.00,0.03
1227,0.00,0.03
1228,0.00,0.03
1229,0.00,0.03
1230,0.00,0.03
1231,0.00,0.03
1232,0.00,0.03
1233,0.00,0.03
1234,0.00,0.03
1235,0.00,0.03
1236,0.00,0.02
1237,0.00,0.03
1238,0.00,0.02
1239,0.00,0.02
1240,0.00,0.03
1241,0.00,0.02
1242,0.00,0.03
1243,0.01,0.03
1244,0.01,0.03
1245,0.01,0.03
1246,0.01,0.03
1247,0.02,0.03
1248,0.00,0.03
1249,0.00,0.02
1250,0.00,0.03
1251,0.00,0.02
1252,0.00,0.03
1253,0.00,0.03
1254,0.00,0.03
1255,0.00,0.03
1256,0.00,0.03
1257,0.00,0.03
1258,0.00,0.03
1259,0.01,0.03
1260,0.01,0.03
1261,0.00,0.02
1262,0.01,0.03
1263,0.02,0.03
1264,0.01,0.03
1265,0.00,0.02
1266,0.00,0.03
1267,0.00,0.02
1268,0.00,0.03
1269,0.00,0.02
1270,0.00,0.03
1271,0.00,0.02
1272,0.00,0.03
1273,0.00,0.02
1274,0.00,0.03
1275,0.00,0.02
1276,0.00,0.03
1277,0.00,0.02
1278,0.00,0.03
1279,0.00,0.02
1280,0.00,0.03
1281,0.00,0.02
1282,0.00,0.03
1283,0.00,0.03
1284,0.00,0.03
1285,0.00,0.03
1286,0.00,0.03
1287,0.00,0.03
1288,0.00,0.03
1289,0.00,0.03
1290,0.00,0.03
1291,0.00,0.03
1292,0.00,0.03
1293,0.00,0.03
1294,0.00,0.03
1295,0.00,0.03
1296,0.00,0.03
1297,0.00,0.02
1298,0.00,0.03
1299,0.00,0.02
1300,0.00,0.03
1301,0.00,0.02
1302,0.00,0.03
1303,0.00,0.02
1304,0.00,0.03
1305,0.00,0.02
1306,0.00,0.03
1307,0.00,0.02
1308,0.00,0.03
1309,0.00,0.02
1310,0.00,0.03
1311,0.00,0.02
1312,0.00,0.03
1313,0.00,0.02
1314,0.00,0.03
1315,0.00,0.02
1316,0.00,0.03
1317,0.00,0.03
1318,0.00,0.03
1319,0.00,0.03
1320,0.00,0.03
1321,0.00,0.03
1322,0.00,0.03
1323,0.00,0.03
1324,0.00,0.03
1325,0.00,0.03
1326,0.00,0.03
1327,0.00,0.03
1328,0.00,0.03
1329,0.00,0.03
1330,0.00,0.03
1331,0.00,0.03
1332,0.00,0.03
1333,0.00,0.02
1334,0.00,0.03
1335,0.00,0.02
1336,0.00,0.03
1337,0.00,0.02
1338,0.00,0.03
1339,0.00,0.02
1340,0.00,0.03
1341,0.00,0.02
1342,0.00,0.03
1343,0.00,0.02
1344,0.00,0.03
1345,0.02,0.04
1346,0.03,0.03
1347,0.04,0.02
1348,0.04,0.04
1349,0.03,0.02
1350,0.02,0.03
1351,0.00,0.03
1352,0.00,0.03
1353,0.00,0.03
1354,0.00,0.03
1355,0.00,0.03
1356,0.00,0.03
1357,0.00,0.03
1358,0.00,0.03
1359,0.00,0.03
